index,label,color
0,armchair,#4a92c6
1,Lounge Chair / Cafe Chair / Office Chair,#1f77b4
2,Pendant Lamp,#ffbb78
3,Coffee Table,#b29dd4
4,Corner/Side Table,#c5b0d5
5,Dining Table,#7b66d2
6,Bookcase / jewelry Armoire,#d4d577
7,Three-Seat / Multi-seat Sofa,#f1a6cd
8,TV Stand,#a08bd3
9,Drawer Chest / Corner cabinet,#c2c337
10,Shelf,#d7d882
11,Wardrobe,#bcbd22
12,Footstool / Sofastool / Bed End Stool / Stool,#17becf
13,Sideboard / Side Cabinet / Console Table,#a994d3
14,Ceiling Lamp,#ff7f0e
15,Children Cabinet,#c2c337
16,Round End Table,#bba6d4
17,Desk,#9681d3
18,Loveseat Sofa,#f3abcf
19,Dining Chair,#97c1e7
20,Barstool,#17becf
21,Lazy Sofa,#f1a6cd
22,L-shaped Sofa,#e377c2
23,Wine Cabinet,#c8c94c
24,Classic Chinese Chair,#8cbae2
25,Chaise Longue Sofa,#e98cc7
26,Nightstand,#ffd94a
27,Dressing Table,#8d78d2
28,Dressing Chair,#a2c8ec
29,unknown,#ffffff
30,Floor,#d3d3d3
31,Wall,#d3d3d3
32,Window,#ff9999
33,Door,#990000
34,Kids Bed,#98df8a
35,King-size Bed,#2ca02c
36,Single bed,#69b764
